Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,year,Continent,,,Region_1,year_1,Attribute,Value
Bangladesh,19.81,31.7,62.5,40.92,86.23,60.34,2013,2,,,Burundi,2011,Susceptibility,63.88
Solomon Is.,18.11,29.98,60.4,43.96,84.15,53.09,2013,3,,,Burundi,2011,Lack of Coping Capabilities,90.68
Costa Rica,16.94,42.61,39.75,21.58,64.1,33.58,2013,1,,,Burundi,2011,Lack of Adaptive Capacities,60.89
Cambodia,16.9,27.65,61.12,43.47,86.6,53.28,2013,2,,,Mali,2011,WRI,11.51
El Salvador,16.85,32.6,51.69,29.5,75.69,49.88,2013,1,,,Mali,2011,Exposure,16.59
Timor-Leste,16.37,25.73,63.61,52.16,79.36,59.31,2013,2,,,Mali,2011,Vulnerability,69.35
Papua New Guinea,15.9,24.94,63.77,51.22,83.99,56.1,2013,4,,,Mali,2011,Susceptibility,54.74
Brunei,15.8,41.1,38.44,14.48,64.69,36.15,2013,0,,,Mali,2011,Lack of Coping Capabilities,85.45
Mauritius,15.18,37.35,40.64,18.96,60.61,42.35,2013,0,,,Mali,2011,Lack of Adaptive Capacities,67.85
Nicaragua,14.89,27.23,54.69,37.09,81.32,45.65,2013,1,,,Haiti,2011,WRI,11.45
Japan,14.1,45.91,30.71,16.84,40.08,35.22,2013,2,,,Haiti,2011,Exposure,15.95
Fiji,13.56,27.71,48.93,26.14,75.3,45.35,2013,4,,,Haiti,2011,Vulnerability,71.77
Guinea-Bissau,13.09,19.65,66.58,53.39,87.99,58.36,2013,0,,,Haiti,2011,Susceptibility,64.03
Vietnam,12.81,25.35,50.53,28.08,76.71,46.8,2013,2,,,Haiti,2011,Lack of Coping Capabilities,89.46
Chile,12.28,30.95,39.66,20.71,58.65,39.63,2013,1,,,Haiti,2011,Lack of Adaptive Capacities,61.83
Jamaica,12.15,25.82,47.07,27.1,72.09,42.01,2013,1,,,Sierra Leone,2011,WRI,11.25
Haiti,11.88,16.26,73.05,61.64,89.63,67.88,2013,1,,,Sierra Leone,2011,Exposure,15.31
Gambia,11.71,19.29,60.69,42.31,82.39,57.38,2013,0,,,Sierra Leone,2011,Vulnerability,73.5
Guyana,11.65,22.9,50.87,28.69,79.37,44.54,2013,1,,,Sierra Leone,2011,Susceptibility,64.79
Niger,11.62,15.87,73.21,61.26,86.62,71.76,2013,0,,,Sierra Leone,2011,Lack of Coping Capabilities,89.09
Benin,11.32,17.06,66.34,53.29,82.2,63.54,2013,0,,,Sierra Leone,2011,Lack of Adaptive Capacities,66.62
Dominican Rep.,11.28,23.14,48.74,28.31,73.06,44.86,2013,1,,,Vietnam,2011,WRI,11.21
Cameroon,11.23,18.19,61.71,41.3,84.97,58.87,2013,0,,,Vietnam,2011,Exposure,22.02
Madagascar,11.09,16.03,69.18,67.42,82.68,57.43,2013,0,,,Vietnam,2011,Vulnerability,50.89
Chad,11.06,14.89,74.28,63.62,91.62,67.61,2013,0,,,Vietnam,2011,Susceptibility,30.82
Senegal,10.99,17.57,62.55,46.54,81.29,59.83,2013,0,,,Vietnam,2011,Lack of Coping Capabilities,78.88
Honduras,10.91,20.01,54.51,35.59,81.8,46.15,2013,1,,,Vietnam,2011,Lack of Adaptive Capacities,42.97
Cabo Verde,10.8,20.26,53.31,35.53,69.98,54.41,2013,0,,,Japan,2011,WRI,11.13
Indonesia,10.54,19.36,54.46,33.01,81.79,48.57,2013,2,,,Japan,2011,Exposure,39.57
Burundi,10.46,15.13,69.17,62.5,88.06,56.94,2013,0,,,Japan,2011,Vulnerability,28.13
Sierra Leone,10.37,14.65,70.75,60.68,85.73,65.82,2013,0,,,Japan,2011,Susceptibility,16.3
Togo,10.34,15.56,66.49,52.49,85.01,61.96,2013,0,,,Japan,2011,Lack of Coping Capabilities,36.66
Albania,10.01,21.25,47.09,20.67,74.74,45.87,2013,3,,,Japan,2011,Lack of Adaptive Capacities,31.44
Zimbabwe,9.96,14.96,66.6,58.12,89.64,52.05,2013,0,,,Benin,2011,WRI,10.9
Afghanistan,9.93,13.17,75.41,56.67,93.44,76.11,2013,2,,,Benin,2011,Exposure,16.2
Djibouti,9.84,16.34,60.22,39.49,81.78,59.38,2013,0,,,Benin,2011,Vulnerability,67.24
Burkina Faso,9.72,14.32,67.86,55.6,83.53,64.44,2013,0,,,Benin,2011,Susceptibility,54.87
Myanmar,9.1,14.87,61.22,36.65,89.11,57.89,2013,2,,,Benin,2011,Lack of Coping Capabilities,84.9
Côte d'Ivoire,8.96,13.67,65.58,48.58,87.13,61.02,2013,0,,,Benin,2011,Lack of Adaptive Capacities,61.94
Mozambique,8.89,12.73,69.85,65.54,83.88,60.13,2013,0,,,Togo,2011,WRI,10.4
Ghana,8.81,14.48,60.79,46.65,77.58,58.15,2013,0,,,Togo,2011,Exposure,14.98
Netherlands,8.76,30.57,28.67,14.03,42.16,29.82,2013,3,,,Togo,2011,Vulnerability,69.45
Uzbekistan,8.66,16.18,53.52,31.39,78.07,51.11,2013,2,,,Togo,2011,Susceptibility,58.26
Mali,8.65,12.55,68.9,55.8,81.66,69.25,2013,0,,,Togo,2011,Lack of Coping Capabilities,87.49
Suriname,8.55,18.12,47.2,29.19,70.73,41.68,2013,1,,,Togo,2011,Lack of Adaptive Capacities,62.59
Kyrgyzstan,8.43,16.63,50.71,27.2,76.28,48.64,2013,2,,,Cameroon,2011,WRI,10.27
Guinea,8.32,12.03,69.2,54.33,89.39,63.88,2013,0,,,Cameroon,2011,Exposure,16.23
Nigeria,8.32,12.06,68.99,56.22,87.67,63.07,2013,0,,,Cameroon,2011,Vulnerability,63.29
Mauritania,8.26,12.47,66.19,48.77,84.95,64.86,2013,0,,,Cameroon,2011,Susceptibility,47.62
Algeria,8.13,15.82,51.39,23.04,77.36,53.77,2013,0,,,Cameroon,2011,Lack of Coping Capabilities,85.82
Malawi,8.02,12.34,65,55.76,83.07,56.17,2013,0,,,Cameroon,2011,Lack of Adaptive Capacities,56.42
Tanzania,7.99,12.01,66.49,65.05,82.64,51.8,2013,2,,,Albania,2011,WRI,9.98
Bhutan,7.98,14.81,53.89,32.41,75.44,53.82,2013,2,,,Albania,2011,Exposure,22.47
Sudan,7.87,11.86,66.4,51.33,92.42,55.45,2013,0,,,Albania,2011,Vulnerability,44.42
Ecuador,7.77,16.15,48.14,27,74.72,42.69,2013,1,,,Albania,2011,Susceptibility,20.04
Liberia,7.71,10.96,70.31,64.05,83.59,63.28,2013,0,,,Albania,2011,Lack of Coping Capabilities,74.31
Sri Lanka,7.67,14.79,51.83,27.33,78.7,49.46,2013,2,,,Albania,2011,Lack of Adaptive Capacities,38.91
eSwatini,7.65,12.76,59.95,44.89,80.84,54.14,2013,0,,,Mozambique,2011,WRI,9.98
Trinidad and Tobago,7.65,17.54,43.6,18.81,69.54,42.45,2013,1,,,Mozambique,2011,Exposure,13.86
Congo,7.57,11.65,64.96,55.63,85.28,53.99,2013,0,,,Mozambique,2011,Vulnerability,71.95
Serbia,7.53,18.05,41.75,18.67,66.96,39.61,2013,3,,,Mozambique,2011,Susceptibility,68.19
Comoros,7.52,10.97,68.56,59.98,82.7,63,2013,0,,,Mozambique,2011,Lack of Coping Capabilities,86.16
